Time,Delay
73.25,0.000635713
73.5,0.000635713
73.75,0.000635713
74,0.000635713
74.25,0.000635713
74.5,0.000635713
74.75,0.000635713
75,0.000635713
75.25,0.000635713
75.5,0.000635713
75.75,0.000635713
76,0.000635713
76.25,0.000635713
76.5,0.000635713
76.75,0.000635713
77,0.000635713
77.25,0.000635713
77.5,0.000635713
77.75,0.000635713
78,0.000635713
78.25,0.000635713
78.5,0.000635713
78.75,0.000635713
79,0.000635713
79.25,0.000635713
79.5,0.000635713
79.75,0.000635713
80,0.000635713
80.25,0.000635713
80.5,0.000635713
80.75,0.000635713
81,0.000635713
81.25,0.000635713
81.5,0.000635713
81.75,0.000635713
82,0.000635713
82.25,0.000635713
82.5,0.000635713
82.75,0.000635713
83,0.000635713
83.25,0.000635713
83.5,0.000635713
83.75,0.000635713
84,0.000635713
84.25,0.000635713
84.5,0.000635713
84.75,0.000635713
85,0.000635713
85.25,0.000635713
85.5,0.000635713
85.75,0.000635713
86,0.000635713
86.25,0.000635713
86.5,0.000635713
86.75,0.000635713
87,0.000635713
87.25,0.000635713
87.5,0.000635713
87.75,0.000635713
88,0.000635713
88.25,0.000635713
88.5,0.000635713
88.75,0.000635713
89,0.000635713
89.25,0.000635713
89.5,0.000635713
89.75,0.000635713
90,0.000635713
90.25,0.000635713
90.5,0.000635713
90.75,0.000635713
91,0.000635713
91.25,0.000635713
91.5,0.000635713
91.75,0.000635713
92,0.000635713
92.25,0.000635713
92.5,0.000635713
92.75,0.000635713
93,0.000635713
93.25,0.000635713
93.5,0.000635713
93.75,0.000635713
94,0.000635713
94.25,0.000635713
94.5,0.000635713
94.75,0.000635713
95,0.000635713
95.25,0.000635713
95.5,0.000635713
95.75,0.000635713
96,0.000635713
96.25,0.000635713
96.5,0.000635713
96.75,0.000635713
97,0.000635713
97.25,0.000635713
97.5,0.000635713
97.75,0.000635713
98,0.000635713
98.25,0.000635713
98.5,0.000635713
98.75,0.000635713
99,0.000635713
99.25,0.000635713
99.5,0.000635713
99.75,0.000635713
